signal_date,entry_date,period_end,turnover,transaction_cost,gross_exposure,tsmom_risk_on,tsmom_momentum,tsmom_events,risk_off_asset,risk_off_momentums,weight_AAPL,weight_AMZN,weight_GOOGL,weight_META,weight_MSFT,weight_NVDA,riskoff_weight_GLD,riskoff_weight_TLT,rating_AAPL,rating_AMZN,rating_GOOGL,rating_META,rating_MSFT,rating_NVDA
2020-07-02,2020-07-06,2020-10-05,1.3333333333333333,0.0006666666666666666,1.0,True,0.0827981828621136,2020-07-07:28.31%:100%;2020-08-03:15.97%:100%;2020-09-01:13.88%:100%;2020-10-01:8.28%:100%,,{},0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,Hold,Buy,Underweight,Sell,Hold,Overweight
2020-10-02,2020-10-05,2021-01-04,2.833333333333333,0.0014166666666666666,1.0,True,0.11403361826361746,2020-10-06:8.71%:100%;2020-11-02:-0.29%:0%;2020-12-01:4.06%:100%;2021-01-04:11.40%:100%,,"{""GLD"": -0.09002660750834379, ""TLT"": -0.002360937151814624}",0.25,0.25,0.0,0.0,0.0,0.5,0.0,0.0,Overweight,Overweight,Underweight,Underweight,Hold,Buy
2020-12-31,2021-01-04,2021-04-05,1.0,0.0005,1.0,True,0.07044673585009065,2021-01-05:10.94%:100%;2021-02-01:13.77%:100%;2021-03-01:5.17%:100%;2021-04-01:7.04%:100%,,{},0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,Buy,Overweight,Hold,Underweight,Hold,Hold
2021-04-01,2021-04-05,2021-07-06,2.0,0.001,1.0,True,0.08359290534496577,2021-04-06:9.04%:100%;2021-05-03:13.13%:100%;2021-06-01:8.17%:100%;2021-07-01:8.36%:100%,,{},0.0,0.0,0.4,0.2,0.4,0.0,0.0,0.0,Hold,Underweight,Buy,Overweight,Buy,Hold
2021-07-02,2021-07-06,2021-10-04,1.2000000000000002,0.0006000000000000001,1.0,True,0.00019710506009928963,2021-07-07:6.95%:100%;2021-08-02:5.43%:100%;2021-09-01:7.78%:100%;2021-10-01:0.02%:100%,,{},0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,Hold,Underweight,Overweight,Hold,Hold,Overweight
2021-10-01,2021-10-04,2022-01-04,4.0,0.002,1.0,True,0.09761579712800561,2021-10-05:-0.67%:0%;2021-11-01:5.29%:100%;2021-12-01:1.21%:100%;2022-01-03:9.76%:100%,GLD,"{""GLD"": 0.002908989713090504, ""TLT"": -0.03467177496035556}",0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,Hold,Sell,Buy,Underweight,Hold,Overweight
2022-01-03,2022-01-04,2022-04-04,3.333333333333333,0.0016666666666666666,1.0,False,-0.04854877824660353,2022-01-05:10.65%:100%;2022-02-01:-1.69%:0%;2022-03-01:-4.53%:0%;2022-04-01:-4.85%:0%,GLD,"{""GLD"": 0.06389864929165712, ""TLT"": -0.10453609776568651}",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Overweight,Sell,Hold,Underweight,Overweight,Buy
2022-04-01,2022-04-04,2022-07-05,1.0,0.0005,0.0,False,-0.17401448259870644,2022-04-05:-4.08%:0%;2022-05-02:-6.49%:0%;2022-06-01:-3.67%:0%;2022-07-01:-17.40%:0%,,"{""GLD"": -0.06825345689926188, ""TLT"": -0.11695897572948999}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Overweight,Underweight,Hold,Sell,Hold,Overweight
2022-07-01,2022-07-05,2022-10-04,2.0,0.001,0.0,False,-0.059261090465585586,2022-07-06:-15.30%:0%;2022-08-01:-3.28%:0%;2022-09-01:-3.10%:0%;2022-10-03:-5.93%:0%,,"{""GLD"": -0.038361197719081974, ""TLT"": -0.10487939015018743}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hold,Underweight,Hold,Sell,Hold,Sell
2022-10-03,2022-10-04,2023-01-04,1.0,0.0005,1.0,True,0.07560943704649858,2022-10-05:-0.97%:0%;2022-11-01:-4.97%:0%;2022-12-01:3.59%:100%;2023-01-03:7.56%:100%,GLD,"{""GLD"": 0.09678671622114754, ""TLT"": -0.01879862071263183}",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Hold,Underweight,Underweight,Sell,Underweight,Sell
2023-01-03,2023-01-04,2023-04-04,6.0,0.003,1.0,True,0.071751699442,2023-01-05:2.00%:100%;2023-02-01:4.97%:100%;2023-03-01:-1.06%:0%;2023-04-03:7.18%:100%,GLD,"{""GLD"": 0.04019113778662109, ""TLT"": -0.004259586430375162}",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Underweight,Sell,Underweight,Buy,Hold,Underweight
2023-04-03,2023-04-04,2023-07-05,1.0,0.0005,1.0,True,0.10212189391402404,2023-04-05:7.72%:100%;2023-05-01:2.92%:100%;2023-06-01:6.26%:100%;2023-07-03:10.21%:100%,,{},0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,Hold,Underweight,Hold,Overweight,Overweight,Hold
2023-07-03,2023-07-05,2023-10-04,2.333333333333333,0.0011666666666666665,0.0,False,-0.03224173061923408,2023-07-06:8.23%:100%;2023-08-01:10.47%:100%;2023-09-01:7.16%:100%;2023-10-02:-3.22%:0%,,"{""GLD"": -0.048807877049713455, ""TLT"": -0.1512094184232904}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Overweight,Overweight,Underweight,Buy,Hold,Buy
2023-10-03,2023-10-04,2024-01-04,3.0,0.0015,1.0,True,0.11639641717806604,2023-10-05:-3.07%:0%;2023-11-01:-6.77%:0%;2023-12-01:1.70%:100%;2024-01-02:11.64%:100%,GLD,"{""GLD"": 0.024999944776099348, ""TLT"": -0.13383243197087535}",0.0,0.0,0.25,0.5,0.0,0.25,0.0,0.0,Hold,Sell,Overweight,Buy,Underweight,Overweight
2024-01-03,2024-01-04,2024-04-04,0.8333333333333337,0.0004166666666666669,1.0,True,0.10112088043700718,2024-01-05:10.48%:100%;2024-02-01:16.66%:100%;2024-03-01:12.14%:100%;2024-04-01:10.11%:100%,GLD,"{""GLD"": 0.06817594440251451, ""TLT"": -0.052604480467736914}",0.0,0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,1.1102230246251565e-16,0.0,Sell,Overweight,Hold,Buy,Overweight,Buy
2024-04-03,2024-04-04,2024-07-05,0.5000000000000001,0.00025000000000000006,1.0,True,0.04379093623205099,2024-04-05:9.79%:100%;2024-05-01:2.58%:100%;2024-06-03:3.15%:100%;2024-07-01:4.38%:100%,,{},0.0,0.25,0.0,0.5,0.0,0.25,0.0,0.0,Underweight,Overweight,Hold,Buy,Hold,Overweight
2024-07-03,2024-07-05,2024-10-04,1.5,0.00075,1.0,True,0.05534145861781026,2024-07-08:8.45%:100%;2024-08-01:10.08%:100%;2024-09-03:7.23%:100%;2024-10-01:5.53%:100%,,{},0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Hold,Hold,Hold,Hold,Hold,Buy
2024-10-03,2024-10-04,2025-01-06,1.3333333333333335,0.0006666666666666668,1.0,True,0.034174965623226194,2024-10-07:3.50%:100%;2024-11-01:7.03%:100%;2024-12-02:7.22%:100%;2025-01-02:3.42%:100%,,{},0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,Buy,Hold,Underweight,Underweight,Sell,Overweight
2025-01-03,2025-01-06,2025-04-04,2.833333333333333,0.0014166666666666666,1.0,False,-0.0669625159012871,2025-01-07:4.26%:100%;2025-02-03:3.79%:100%;2025-03-03:-0.23%:0%;2025-04-01:-6.70%:0%,GLD,"{""GLD"": 0.18541986245181685, ""TLT"": 0.04352464911278142}",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Overweight,Overweight,Hold,Hold,Sell,Buy
2025-04-03,2025-04-04,2025-07-07,0.0,0.0,1.0,True,0.11520815149667496,2025-04-07:-13.31%:0%;2025-05-01:-7.58%:0%;2025-06-02:-0.51%:0%;2025-07-01:11.52%:100%,GLD,"{""GLD"": 0.0731183172294001, ""TLT"": -0.010161960535215453}",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Hold,Underweight,Underweight,Sell,Underweight,Sell
2025-07-03,2025-07-07,2025-10-06,2.0,0.001,1.0,True,0.0815622040200652,2025-07-08:15.99%:100%;2025-08-01:14.32%:100%;2025-09-02:9.77%:100%;2025-10-01:8.16%:100%,,{},0.0,0.0,0.0,0.4,0.2,0.4,0.0,0.0,Underweight,Hold,Hold,Buy,Overweight,Buy
2025-10-03,2025-10-06,2025-12-31,1.2,0.0006,1.0,True,0.062374464543476726,2025-10-07:8.56%:100%;2025-11-03:8.36%:100%;2025-12-01:6.24%:100%,,{},0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,Hold,Underweight,Overweight,Sell,Hold,Buy
